ACCOUNT: 
TechSpec Version: 2.0 
Customisation Date: 2026-07-22 
Scan Version: 2.0
FQDN:afs-vm-eastus-elastic-az1-ml-p01.jphjhwchgmwurgklsgogdo0e3h.bx.internal.cloudapp.net 
IP-ADDRESS:192.168.0.7/26 
OS-NAME: RedHatLinux9.8 
Scan-Date: 2026-07-22
Time-Stamp: 08:53:06
********************************************************
SECTION-ID|SECTION-HEADING|SYSTEM-VALUE/PARAMETER|CURRENT-VALUE|TEST-RESULT
IZ1.C.5.1.2.7|Access Authentication and Authorization/Configure SSH Server|Ensure SSH root login is disabled|PermitRootLogin is correctly set to no in sshd configuration.|Yes
IZ1.C.5.1.2.7|Access Authentication and Authorization/Configure SSH Server|Ensure SSH root login is disabled|No 'PermitRootLogin yes' entries found in /etc/ssh/sshd_config.|Yes
IZ1.C.5.1.2.8|Access Authentication and Authorization/Configure SSH Server|Ensure SSH HostbasedAuthentication is disabled|HostbasedAuthentication is set to no in sshd_config|Yes
IZ1.C.5.1.2.8|Access Authentication and Authorization/Configure SSH Server|Ensure SSH HostbasedAuthentication is disabled|No lines with 'HostbasedAuthentication yes' found in sshd_config|Yes
IZ1.C.5.1.2.9|Access Authentication and Authorization/Configure SSH Server|Ensure SSH PermitEmptyPasswords is disabled|PermitEmptyPasswords is set to no in sshd_config|Yes
IZ1.C.5.1.2.9|Access Authentication and Authorization/Configure SSH Server|Ensure SSH PermitEmptyPasswords is disabled|No lines with 'PermitEmptyPasswords yes' found in sshd_config|Yes
IZ1.C.5.1.2.10|Access Authentication and Authorization/Configure SSH Server|Ensure SSH PermitUserEnvironment is disabled|PermitUserEnvironment is set to no in sshd_config|Yes
IZ1.C.5.1.2.10|Access Authentication and Authorization/Configure SSH Server|Ensure SSH PermitUserEnvironment is disabled|No lines with 'PermitUserEnvironment yes' found in sshd_config|Yes
IZ1.C.5.1.2.11|Access Authentication and Authorization/Configure SSH Server|Ensure SSH IgnoreRhosts is enabled.|IgnoreRhosts is set to yes in sshd_config|Yes
IZ1.C.5.1.2.11|Access Authentication and Authorization/Configure SSH Server|Ensure SSH IgnoreRhosts is enabled.|No lines with 'IgnoreRhosts no' found in sshd_config|Yes
IZ1.C.5.1.2.12|Access Authentication and Authorization/Configure SSH Server|Ensure system-wide crypto policy is not overridden|CRYPTO_POLICY is not set in /etc/sysconfig/sshd|Yes
IZ1.C.5.1.2.13|Access Authentication and Authorization/Configure SSH Server|Ensure SSH warning banner is configured|Banner is set in /etc/ssh/sshd_config|Yes
IZ1.C.5.1.2.14|Access Authentication and Authorization/Configure SSH Server|Ensure SSH MaxAuthTries is set to 4 or less|File /etc/ssh/sshd_config containsMaxAuthTries 4|Yes
IZ1.C.5.1.2.14|Access Authentication and Authorization/Configure SSH Server|Ensure SSH MaxAuthTries is set to 4 or less|File /etc/ssh/sshd_config containsMaxAuthTries 4|Yes
IZ1.C.5.1.2.15|Access Authentication and Authorization/Configure SSH Server|Ensure SSH MaxStartups is configured|File /etc/ssh/sshd_config containsMaxStartups 10:30:60|Yes
IZ1.C.5.1.2.15|Access Authentication and Authorization/Configure SSH Server|Ensure SSH MaxStartups is set to 10:30:60|No lines with 'MaxStartups' set to invalid values found in sshd_config|Yes
IZ1.C.5.1.2.16|Access Authentication and Authorization/Configure SSH Server|Ensure SSH MaxSessions is set to 10 or less|File /etc/ssh/sshd_config containsMaxSessions 10|Yes
IZ1.C.5.1.2.16|Access Authentication and Authorization/Configure SSH Server|Ensure SSH MaxSessions is set to 10|No lines with 'MaxSessions' set to values higher than 10 found in sshd_config|Yes
IZ1.C.5.1.2.17|Access Authentication and Authorization/Configure SSH Server|Ensure SSH LoginGraceTime is set to one minute or less|File /etc/ssh/sshd_config containsLoginGraceTime 60|Yes
IZ1.C.5.1.2.17|Access Authentication and Authorization/Configure SSH Server|Ensure SSH LoginGraceTime is set to one minute or less|No lines with 'LoginGraceTime' set to values 60 found in sshd_config|Yes
IZ1.C.5.1.2.18|Access Authentication and Authorization/Configure SSH Server|Ensure SSH Idle Timeout Interval is configured.|ClientAliveInterval is configured: clientaliveinterval 180|Yes
IZ1.C.5.1.2.18|Access Authentication and Authorization/Configure SSH Server|Ensure SSH Idle Timeout Interval is configured.|ClientAliveCountMax is configured: clientalivecountmax 0|Yes
IZ1.C.5.1.3.1|Access Authentication and Authorization / Configure privilege escalation|Ensure sudo is installed|sudo is installed.|Yes
IZ1.C.5.1.3.2|Access Authentication and Authorization / Configure privilege escalation|Ensure sudo commands use pty.|sudo commands use pty|Yes
IZ1.C.5.1.3.3|Access Authentication and Authorization / Configure privilege escalation|Ensure sudo log file exists.|sudo log file exists|Yes
IZ1.C.5.1.3.4|Access Authentication and Authorization / Configure privilege escalation|Ensure re-authentication for privilege escalation is not disabled globally.|The '!authenticate' directive is not found in /etc/sudoers|Yes
